#SMILES	StructureSource	IdentifierType	IdentifierValue
C1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3[C@@H](C(O)=O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00144.CDX	Step	1
C=1(C=CC(=CC1)C[C@@H](C(N2[C@@H]3[C@H](C[C@H]2C(=O)N)C3)=O)NC(=O)OC(C)(C)C)OCC4=CC=CC=C4	USRE044186-20130430-C00071.CDX	Step	1
C1[C@H]2C[C@H]3C[C@@H]1CC(C2)(C3)C(OC)=O	USRE044186-20130430-C00128.CDX	Step	1
C1C(CC1)([C@@H](C(N2[C@@H](C[C@H]3[C@@H]2C3)C#N)=O)NC(=O)OC(C)(C)C)CO	USRE044186-20130430-C00112.CDX	Step	1
[C@@H]1(N(C2C(C1)C2)C(=O)OC(C)(C)C)C(=O)OCC	USRE044186-20130430-C00023.CDX	Step	1
[C@@H]12N([C@@H](C[C@@H]1C2)C(=O)O)C(=O)OC(C)(C)C	USRE044186-20130430-C00202.CDX	Step	1
[C@H](C(O)=O)(NC(OC(C)(C)C)=O)CCO[Si](C)(C)C(C)(C)C	USRE044186-20130430-C00076.CDX	Step	1
OC(C(C1(CCC1)C(C)=C)NC(=O)OC(C)(C)C)=O	USRE044186-20130430-C00106.CDX	Step	1
C1CC(CCO1)[C@@H](C(O)=O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00151.CDX	Step	1
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@H](CS(C(C)(C)C)(=O)=O)NC(=O)OC(C)(C)C)=O)C2	USRE044186-20130430-C00178.CDX	Step	1
C1CC(CC1)(C(=C)F)C(C(O)=O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00100.CDX	Step	1
O1CC(C(C1=O)NC(=O)OC(C)(C)C)(C)C	USRE044186-20130430-C00120.CDX	Step	1
C1C\C(\CCC1)=C(\C(OCC)=O)/C(OCC)=O	USRE044186-20130430-C00189.CDX	Step	1
C1[C@@]2(CC[C@@H](C1)C2)C(OC)=O	USRE044186-20130430-C00146.CDX	Step	1
C1CCC(C1)([C@@H](C(N2[C@@H]3[C@H](C[C@H]2C(=O)N)C3)=O)NC(=O)OC(C)(C)C)C=C	USRE044186-20130430-C00086.CDX	Step	1
[C@@H]1(N([C@H]2[C@@H](C1)C2)C(=O)OC(C)(C)C)C(=O)OCC	USRE044186-20130430-C00030.CDX	Step	1
N1([C@@H](C[C@H]2[C@@H]1C2)C(=O)O)C(=O)OC(C)(C)C	USRE044186-20130430-C00043.CDX	Step	1
C1CC(CC1)(CO)C=2C=CC=CC2	USRE044186-20130430-C00154.CDX	Step	1
C(/C(OCC)=O)(\C(=O)OCC)=C/1\CCCC1	USRE044186-20130430-C00197.CDX	Step	1
C1=CC(=CC=C1)C2(CCCC2)C(C(=O)O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00157.CDX	Step	1
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@H](CSC(C)(C)C)NC(=O)OC(C)(C)C)=O)C2	USRE044186-20130430-C00175.CDX	Step	1
C1(N(C([C@H](C1)C(C)C)(C(=O)OCC)C(OCC)=O)C(=O)C)O	USRE044186-20130430-C00170.CDX	Step	1
OC(C(C1(CCCC1)C(C)=C)NC(=O)OC(C)(C)C)=O	USRE044186-20130430-C00104.CDX	Step	1
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](NC(=O)OC(C)(C)C)C(=O)O)O	USRE044186-20130430-C00136.CDX	Step	1
N1([C@@H](C[C@H]2[C@@H]1C2)C(=O)N)C(=O)OC(C)(C)C	USRE044186-20130430-C00044.CDX	Step	2
[C@@H]12[C@@H](N([C@@H](C1)C#N)C([C@H](CS(C(C)(C)C)=O)NC(=O)OC(C)(C)C)=O)C2	USRE044186-20130430-C00176.CDX	Step	2
C1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3[C@@H](C(N4[C@@H]5[C@H](C[C@H]4C#N)C5)=O)N.FC(C(=O)O)(F)F	USRE044186-20130430-C00145.CDX	Step	2
C1[C@H]2C[C@H]3C[C@@H]1CC(C2)(C3)CO	USRE044186-20130430-C00129.CDX	Step	2
[C@@H](C(N1[C@@H](C[C@H]2[C@@H]1C2)C#N)=O)(C3(CCC3)CO)N	USRE044186-20130430-C00113.CDX	Step	2
C1CC(CCO1)[C@@H](C(N2[C@@H]3[C@H](C[C@H]2C#N)C3)=O)N	USRE044186-20130430-C00152.CDX	Step	2
[C@@H]12N[C@](C[C@@H]1C2)([H])C(=O)N3[C@@H]4[C@H](C[C@H]3C#N)C4	USRE044186-20130430-C00203.CDX	Step	2
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C(=O)[C@@H](N)C3(CCCC3)C(=C)C	USRE044186-20130430-C00105.CDX	Step	2
C1[C@@]2(C[C@@H]3C[C@H]1CC(C2)(C3)[C@H](NC(=O)OC(C)(C)C)C(N4[C@@H]5[C@H](C[C@H]4C(=O)N)C5)=O)O	USRE044186-20130430-C00137.CDX	Step	2
N1([C@@H]([C@@H]2[C@H](C1)C2)C#N)C([C@@H](NC(=O)OC(C)(C)C)C(C)CC)=O.N1([C@H]([C@H]2[C@@H](C1)C2)C#N)C([C@@H](NC(=O)OC(C)(C)C)C(C)CC)=O	USRE044186-20130430-C00037.CDX	Step	2
C1CC(CC1)(C(=C)F)[C@H](N)C(=O)N2[C@@H](C[C@H]3[C@@H]2C3)C#N	USRE044186-20130430-C00101.CDX	Step	2
C1NC(C(C1)(C)C)C(=O)O.Cl	USRE044186-20130430-C00162.CDX	Step	2
